TransactionID,Date,ProductID,ProductName,Quantity,UnitPrice,CustomerID,Region,ProductCategory,TotalAmount
T036,2024-12-18,P110,Laptop Charger,4,2705.0,C008,North,Charger,10820.0
T020,2024-12-13,P110,Laptop Charger,6,1949.0,C005,West,Charger,11694.0
T037,2024-12-23,P102,Mouse,1,768.0,C003,North,Mouse,768.0
T012,2024-12-21,P108,External Hard Drive,6,4332.0,C012,East,Hard Drive,25992.0
T048,2024-12-13,P101,LaptopPremium,5,74819.0,C010,West,Laptop,374095.0
T044,2024-12-09,P103,Keyboard,8,1823.0,C028,North,Keyboard,14584.0
T025,2024-12-14,P105,Webcam,3,3858.0,C001,East,Webcam,11574.0
T027,2024-12-27,P105,Webcam,9,4494.0,C007,South,Webcam,40446.0
T013,2024-12-22,P104,Monitor,5,10339.0,C020,South,Monitor,51695.0
T017,2024-12-07,P102,Mouse,10,944.0,C007,West,Mouse,9440.0
T038,2024-12-03,P106,Headphones,9,2949.0,C009,West,Headphones,26541.0
T052,2024-12-17,P101,LaptopPremium,2,57178.0,C003,North,Laptop,114356.0
T042,2024-12-02,P102,Mouse,7,994.0,C026,North,Mouse,6958.0
T053,2024-12-13,P104,MonitorLED,2,16067.0,C019,North,Monitor,32134.0
T040,2024-12-07,P107,USB Cable,2,149.0,C022,West,USB Cable,298.0
T065,2024-12-02,P105,Webcam,1,3366.0,C025,South,Webcam,3366.0
T039,2024-12-18,P104,Monitor,3,23488.0,C008,West,Monitor,70464.0
T016,2024-12-08,P101,Laptop,1,65673.0,C013,East,Laptop,65673.0
T041,2024-12-14,P106,Headphones,7,4825.0,C028,North,Headphones,33775.0
T043,2024-12-07,P104,Monitor,4,22700.0,C005,West,Monitor,90800.0
T009,2024-12-03,P107,USB Cable,9,250.0,C027,East,USB Cable,2250.0
T056,2024-12-22,P103,KeyboardMechanical,5,2672.0,C011,North,Keyboard,13360.0
T047,2024-12-07,P108,External Hard Drive1TB,7,3480.0,C006,West,Hard Drive,24360.0
T026,2024-12-25,P109,Wireless Mouse,3,1539.0,C030,North,Wireless Mouse,4617.0
T069,2024-12-05,P107,USB Cable,1,257.0,C012,North,USB Cable,257.0
T067,2024-12-01,P109,Wireless Mouse,2,654.0,C029,South,Wireless Mouse,1308.0
